folder,checknum,Test_Sensitivity,Test_NPV
2e21dd1b,000003,0.0,0.7536764705882353
2e21dd1b,000009,0.7258064516129032,0.7536231884057971
7552922f,000007,0.0,0.7794117647058824
7552922f,000000,0.0,0.8014705882352942
7552922f,000004,0.0,0.7867647058823529
7552922f,000003,0.0,0.7536764705882353
7552922f,000009,0.0,0.7720588235294118
7552922f,000001,0.0,0.7647058823529411
7552922f,000006,0.0,0.7573529411764706
7552922f,000008,0.0,0.7785977859778598
7552922f,000002,0.0,0.7757352941176471
7552922f,000005,0.0,0.7977941176470589
83ae2e48,000008,0.0,0.7794117647058824
83ae2e48,000002,1.0,
83ae2e48,000005,1.0,
83ae2e48,000001,0.0,0.7647058823529411
83ae2e48,000006,0.0,0.7573529411764706
83ae2e48,000004,0.0,0.7867647058823529
83ae2e48,000003,1.0,
83ae2e48,000009,1.0,
83ae2e48,000007,0.0,0.7794117647058824
83ae2e48,000000,1.0,
5ead272c,000000,1.0,
5ead272c,000007,1.0,
5ead272c,000009,0.0,0.7720588235294118
5ead272c,000003,0.0,0.7432950191570882
5ead272c,000004,0.0,0.7867647058823529
5ead272c,000006,0.0,0.7573529411764706
5ead272c,000001,0.0,0.7647058823529411
5ead272c,000005,0.0,0.7977941176470589
5ead272c,000002,0.0,0.7757352941176471
5ead272c,000008,1.0,
d8f39ff2,000001,0.0,0.7647058823529411
d8f39ff2,000006,0.0,0.7573529411764706
d8f39ff2,000008,0.0,0.7794117647058824
d8f39ff2,000002,0.0,0.7757352941176471
d8f39ff2,000005,1.0,
d8f39ff2,000007,1.0,
d8f39ff2,000000,0.0,0.8014705882352942
d8f39ff2,000004,0.0,0.7867647058823529
d8f39ff2,000003,0.029850746268656716,0.7556390977443609
d8f39ff2,000009,0.0,0.7720588235294118
976cf560,000007,1.0,
976cf560,000000,1.0,
976cf560,000004,0.0,0.7867647058823529
976cf560,000009,0.0,0.7720588235294118
976cf560,000003,1.0,
976cf560,000001,0.0,0.7647058823529411
976cf560,000006,0.0,0.7573529411764706
976cf560,000002,0.0,0.7757352941176471
976cf560,000008,1.0,
976cf560,000005,0.0,0.7977941176470589
d622bb71,000000,1.0,
d622bb71,000002,0.0,0.7757352941176471
d622bb71,000001,1.0,
704205c5,000005,0.12727272727272726,0.7903930131004366
704205c5,000008,0.9333333333333333,0.8
704205c5,000002,0.7868852459016393,0.7936507936507936
704205c5,000006,0.5,0.773972602739726
704205c5,000001,0.953125,0.7692307692307693
704205c5,000003,0.9850746268656716,0.6666666666666666
704205c5,000009,0.7903225806451613,0.7833333333333333
704205c5,000004,1.0,1.0
704205c5,000000,0.4074074074074074,0.8181818181818182
704205c5,000007,0.9666666666666667,0.875
d258a8fc,000006,1.0,1.0
d258a8fc,000001,1.0,
d258a8fc,000005,0.0,0.7977941176470589
d258a8fc,000002,0.0,0.7757352941176471
d258a8fc,000008,1.0,
d258a8fc,000000,0.0,0.8014705882352942
d258a8fc,000007,0.0,0.7794117647058824
d258a8fc,000009,1.0,
d258a8fc,000003,0.0,0.7536764705882353
d258a8fc,000004,1.0,
0e2e8b31,000007,0.13333333333333333,0.7688888888888888
0e2e8b31,000000,0.48148148148148145,0.8082191780821918
0e2e8b31,000004,0.46551724137931033,0.8268156424581006
0e2e8b31,000003,0.04477611940298507,0.7584905660377359
