         4152454 function calls (4091041 primitive calls) in 5.373 seconds

   Ordered by: internal time

   ncalls  tottime  percall  cumtime  percall filename:lineno(function)
     6374    0.001    0.000    0.001    0.000 utils.py:159(<genexpr>)
        5    0.001    0.000    2.084    0.417 data_loader.py:19(load_edf)
  638/623    0.001    0.000    0.001    0.000 {built-in method numpy.asarray}
        1    0.001    0.001    0.001    0.001 {built-in method torch._C._rpc_init}
      215    0.001    0.000    0.001    0.000 {built-in method _abc._abc_init}
     2067    0.001    0.000    0.002    0.000 re.py:270(escape)
       77    0.001    0.000    0.001    0.000 contextlib.py:234(contextmanager)
     4269    0.001    0.000    0.001    0.000 {built-in method from_bytes}
      162    0.001    0.000    0.001    0.000 generic.py:5844(__finalize__)
       57    0.001    0.000    0.001    0.000 {method 'reduce' of 'numpy.ufunc' objects}
     6797    0.001    0.000    0.001    0.000 inspect.py:2548(name)
      317    0.001    0.000    0.004    0.000 overrides.py:142(decorator)
        1    0.001    0.001    0.001    0.001 core.py:2697(MaskedArray)
      191    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1594(<setcomp>)
      191    0.001    0.000    0.001    0.000 <frozen importlib._bootstrap_external>:1475(__init__)
  763/711    0.001    0.000    0.001    0.000 typing.py:933(__hash__)
     4804    0.001    0.000    0.001    0.000 token.py:135(ISEOF)
     2070    0.001    0.000    0.001    0.000 {method 'extend' of 'list' objects}
      411    0.001    0.000    0.002    0.000 deprecation.py:9(wrap)
      257    0.001    0.000    0.012    0.000 _decorators.py:391(decorator)
     1621    0.000    0.000    0.001    0.000 <frozen importlib._bootstrap>:811(find_spec)
       18    0.000    0.000    0.001    0.000 arrayprint.py:1588(_guarded_repr_or_str)
     1198    0.000    0.000    0.021    0.000 inspect.py:2859(from_callable)
        1    0.000    0.000    0.000    0.000 scanner.py:46(Scanner)
      311    0.000    0.000    0.001    0.000 enum.py:88(__setitem__)
